time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.361891,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484774,1.229213,0.319666,0.000899,0.005877,0.000980,-0.999982,0.543452,1.127839,0.229236,-0.001175,-0.005782,-0.000543,0.999982,0.577256,0.803676,0.272705,-0.018238,-0.017246,0.015861,0.999559
0.372129,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484769,1.229219,0.319663,0.000902,0.005882,0.000974,-0.999982,0.543451,1.127835,0.229236,-0.001187,-0.005803,-0.000561,0.999982,0.577258,0.803673,0.272706,-0.018243,-0.017246,0.015868,0.999559
0.382369,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229217,0.319668,0.000898,0.005877,0.000977,-0.999982,0.543446,1.127838,0.229236,-0.001182,-0.005789,-0.000554,0.999982,0.577259,0.803679,0.272705,-0.018240,-0.017249,0.015860,0.999559
0.392656,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484773,1.229218,0.319664,0.000904,0.005877,0.000980,-0.999982,0.543451,1.127841,0.229237,-0.001212,-0.005783,-0.000572,0.999982,0.577253,0.803673,0.272705,-0.018237,-0.017243,0.015860,0.999559
0.402942,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484773,1.229218,0.319664,0.000904,0.005877,0.000980,-0.999982,0.543451,1.127841,0.229237,-0.001212,-0.005783,-0.000572,0.999982,0.577253,0.803673,0.272705,-0.018237,-0.017243,0.015860,0.999559
0.413230,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484766,1.229217,0.319665,0.000902,0.005872,0.000972,-0.999982,0.543449,1.127835,0.229233,-0.001184,-0.005787,-0.000542,0.999982,0.577260,0.803673,0.272704,-0.018240,-0.017246,0.015863,0.999559
0.423517,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484768,1.229215,0.319667,0.000904,0.005875,0.000976,-0.999982,0.543452,1.127836,0.229236,-0.001208,-0.005802,-0.000586,0.999982,0.577257,0.803674,0.272703,-0.018236,-0.017247,0.015867,0.999559
0.433826,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484768,1.229215,0.319667,0.000904,0.005875,0.000976,-0.999982,0.543452,1.127836,0.229236,-0.001208,-0.005802,-0.000586,0.999982,0.577257,0.803674,0.272703,-0.018236,-0.017247,0.015867,0.999559
0.444089,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229218,0.319667,0.000909,0.005879,0.000983,-0.999982,0.543442,1.127834,0.229232,-0.001176,-0.005786,-0.000529,0.999982,0.577253,0.803676,0.272705,-0.018237,-0.017242,0.015860,0.999559
0.454376,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229218,0.319667,0.000909,0.005879,0.000983,-0.999982,0.543442,1.127834,0.229232,-0.001176,-0.005786,-0.000529,0.999982,0.577253,0.803676,0.272705,-0.018237,-0.017242,0.015860,0.999559
